Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,WebApiExample.Common\WebApiExample.Common.csproj,File,WebApiExample.Common\WebApiExample.Common.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WebApiExample.Common\WebApiExample.Common.csproj,File,WebApiExample.Common\WebApiExample.Common.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebApiExample.DataStore\WebApiExample.DataStore.csproj,File,WebApiExample.DataStore\WebApiExample.DataStore.csproj,,,EntityFramework 6.4.4,,,,,"EntityFramework, 6.4.4  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,WebApiExample.DataStore\WebApiExample.DataStore.csproj,File,WebApiExample.DataStore\WebApiExample.DataStore.csproj,,,EntityFramework 6.4.4,,,,,"EntityFramework, 6.4.4  Recommendation:  Should be replaced. Remove EntityFramework, and replace with new package EntityFramework, 6.5.1"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,WebApiExample.DataStore\WebApiExample.DataStore.csproj,File,WebApiExample.DataStore\WebApiExample.DataStore.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WebApiExample.DataStore\WebApiExample.DataStore.csproj,File,WebApiExample.DataStore\WebApiExample.DataStore.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebApiExample.WebApp\WebApiExample.WebApp.csproj,File,WebApiExample.WebApp\WebApiExample.WebApp.csproj,,,Antlr 3.5.0.2,,,,,"Antlr, 3.5.0.2  Recommendation:  Remove Antlr, and replace with new package Antlr4 4.6.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebApiExample.WebApp\WebApiExample.WebApp.csproj,File,WebApiExample.WebApp\WebApiExample.WebApp.csproj,,,EntityFramework 6.4.4,,,,,"EntityFramework, 6.4.4  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.1"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApiExample.WebApp\WebApiExample.WebApp.csproj,File,WebApiExample.WebApp\WebApiExample.WebApp.csproj,,,Microsoft.AspNet.Mvc 5.2.4,,,,,"Microsoft.AspNet.Mvc, 5.2.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApiExample.WebApp\WebApiExample.WebApp.csproj,File,WebApiExample.WebApp\WebApiExample.WebApp.csproj,,,Microsoft.AspNet.Razor 3.2.4,,,,,"Microsoft.AspNet.Razor, 3.2.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,WebApiExample.WebApp\WebApiExample.WebApp.csproj,File,WebApiExample.WebApp\WebApiExample.WebApp.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApiExample.WebApp\WebApiExample.WebApp.csproj,File,WebApiExample.WebApp\WebApiExample.WebApp.csproj,,,Microsoft.AspNet.WebApi 5.2.4,,,,,"Microsoft.AspNet.WebApi, 5.2.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,WebApiExample.WebApp\WebApiExample.WebApp.csproj,File,WebApiExample.WebApp\WebApiExample.WebApp.csproj,,,Microsoft.AspNet.WebApi.Core 5.2.7,,,,,"Microsoft.AspNet.WebApi.Core, 5.2.7  Recommendation:  No supported version found"
